S.No,Group No,Group,Name of Cement Company,Year,Plant Status,Unit,Location,Latitude,Longitude,Zone,State,Line #,Clinker Guaranteed Capacity (TPD),Clinker Present Capacity (i.e. Operating) (TPD),Clinker Potential Capacity (TPD),"Kiln
D x L",Pyro Supplier,Clinker Present Capacity (i.e. Operating) @ 330 Days (MTPA),Cement Production (MTPA) @ 1.36 Factor @ Present Operating Clinker Capacity @ 330 Days,Cement Mill Supplier,Cement Mill Model,Guaranteed Capacity,Guaranteed / Operating Capacity (PPC),Cement Production @ 330 x 21 Hours (MTPA),Cement Production @ 345 x 22 Hours (MTPA)
1,12,Holcim,"ACC, Holcim",1984,EXISTING,IU,Gagal,31.414282,76.833333,North,Himachal Pradesh,Line-1,4200,4300,4800,4.11 x 64,ABL with FLS Modifications,1.42,1.93,WIL (1992),BM 4.4 x 15.15 m,2 x 115 TPH OPC @ 3000 Blaine, 265 , 1.8 , 2.0 
2,12,Holcim,"ACC, Holcim",1991,EXISTING,IU,Gagal,31.412997,76.836098,North,Himachal Pradesh,Line-2,3300,4900,5700,4.4 x 65,TKIL,1.62,2.20,KHD (1993),"RP10-120/85 + 
BM 4.0 m Ø x 15.8 m",180 tph OPC, 207 , 1.4 , 1.6 
3,12,Holcim,"ACC, Holcim",1982,EXISTING,IU,Wadi,17.063426,76.978669,South,Karnataka,Line-1,3600,3250,3500,4.8 x 74,ABB,1.07,1.46,FLS (….),2 x (BM - 3.8 x 13.56 m (…..) + Pre-Grinder),2 x 130 tph PPC, 260 , 1.8 , 2.0 
4,12,Holcim,"ACC, Holcim",1999 & Upgraded in 2007,EXISTING,IU,Wadi,17.057933,76.981167,South,Karnataka,Line-2,13000,12500,14000,6.00 x 95,FLS,4.13,5.60,FLS (1999),2 x BM - 4.6 x 15.5 m (5035kW) + Pre-Grinder,2*200 tph PPC, 400 , 2.8 , 3.0 
5,12,Holcim,"ACC, Holcim",1992,EXISTING,IU,Kymore,24.052757,80.615604,Centre,Madhya Pradesh,Line-1,3300,4590,4000,4.35 x 66,FLS,1.51,2.06,"AVB (ACC-Vickers-Bebcock) 
(1960's)",2 x BM - 3.05 x 14.6 m + 1 x Pre-Grinder,"82 TPH PPC (with Pre-Grinder)
72 TPH PPC", 154 , 1.1 , 1.2 
6,12,Holcim,"ACC, Holcim",1995,EXISTING,IU,Kymore,24.053874,80.61406,Centre,Madhya Pradesh,Line-2,3750,4626,5000,4.75 x 75,FLS,1.53,2.07,TKIL (2005),BM - 4.6m Dia x 15.25m L + Pre-Grinder,150 TPH OPC @ Residue less than 10%on 45 micron, 173 , 1.2 , 1.3 
7,12,Holcim,"ACC, Holcim",2012,EXISTING,IU,Jamul,21.240114,81.383466,Centre,Chhattisgarh,Line-4,9000,9000,10000,5.6 x 82,KHD,2.97,4.03,"Vickers (3 BM's)
FLS (3 BM's)
Loesche (VRM)","3 x BM - 3 x 14.6 m
3 x BM - 3 x 13.56 m
LM 56.3 + 2 C (2013)","6 x 18 TPH PSC
157 TPH slag / 195 TPH PPC", 303 , 2.1 , 2.3 
8,12,Holcim,"ACC, Holcim",1997,EXISTING,IU,Lakheri,25.673123,76.190312,North,Rajasthan,Line-1,3200,3200,3200,4.11 x 64,ABB,1.06,1.43,TKIL (2004),BM- 4.6m Dia x 15.25m L,142 TPH PPC @ 4000 Blaine, 142 , 1.0 , 1.1 
9,12,Holcim,"ACC, Holcim",2008,EXISTING,IU,Chanda,19.919793,79.113843,West,Maharashtra,Line-3,7000,7000,9000,5.50 X 86,FLS,2.31,3.14,Loesche,LM 56.3 + 3C (2008),260 TPH PPC, 260 , 1.8 , 2.0 
10,12,Holcim,"ACC, Holcim",1986,EXISTING,IU,Madukkarai,10.907753,76.955621,South,Tamilnadu,Line-1,2800,2435,3500,3.75 x 54,FLS,0.80,1.09,"AVB (ACC-Vickers-Bebcock) 
(….)",BM 4 x 14.5 m,125 tph , 125 , 0.9 , 0.9 
11,12,Holcim,"ACC, Holcim",2003,EXISTING,IU,Chaibasa,22.42544,85.751222,East,Jharkhand,Line-1,4000,4000,5000,4.35 x 67,FLS,1.32,1.79,"AVB (ACC-Vickers-Bebcock) 
(….)",3 x BM 3.05 x 13.5 m,3 x 37 tph, 111 , 0.8 , 0.8 
